	site_no	Mean Flow	Coeff Var	TQmean	R-B Index	Station
1	3335000.0	1045.4047741935485	77.40710635707944	0.3348387096774193	0.21433240122966826	Wildcat
2	3335000.0	1147.6435221674874	73.76526312947676	0.34199507389162564	0.21976644391995928	Wildcat
3	3335000.0	1422.2251612903228	65.80968972166622	0.3619354838709679	0.21464431208972928	Wildcat
4	3335000.0	1373.3724242424244	65.24192029793035	0.35593939393939406	0.20956556622774375	Wildcat
5	3335000.0	1136.8360763660305	64.2782128242618	0.3732718894009217	0.20884884984991842	Wildcat
6	3335000.0	1073.0213333333331	75.41663817546963	0.331777777777778	0.2787004210368123	Wildcat
7	3335000.0	663.1460645161292	66.07878597468456	0.3361290322580645	0.23743198740681365	Wildcat
8	3335000.0	331.75219354838714	70.04869029436081	0.2961290322580645	0.23495406023978588	Wildcat
9	3335000.0	345.4254	51.54777715480872	0.316	0.17215807572534395	Wildcat
10	3335000.0	371.32167741935484	46.28506385609318	0.3516129032258064	0.14612493505797056	Wildcat
11	3335000.0	640.7542000000001	65.00995136438733	0.3226666666666667	0.18950929776608116	Wildcat
12	3335000.0	922.6751612903223	65.21889589318079	0.3574193548387097	0.1933598735138116	Wildcat
1	3331500.0	1118.534193548387	37.60277376569959	0.384516129032258	0.08323713540747907	Tippe
2	3331500.0	1243.4372413793108	43.29568910361238	0.3922167487684729	0.09141017513737795	Tippe
3	3331500.0	1586.0045161290325	33.23218779675563	0.42516129032258065	0.07514044599944197	Tippe
4	3331500.0	1555.0520000000004	33.27928344868607	0.44999999999999996	0.07493714413693332	Tippe
5	3331500.0	1219.6025806451612	35.5475003695474	0.40258064516129033	0.07814627312333022	Tippe
6	3331500.0	1093.35	31.983243199631957	0.444	0.08414072267768731	Tippe
7	3331500.0	680.3464516129035	36.5373581138389	0.4109677419354839	0.08646069153661104	Tippe
8	3331500.0	471.6193548387098	31.02182129802363	0.4070967741935484	0.07107482181290672	Tippe
9	3331500.0	409.1966666666668	26.538520945579183	0.37666666666666665	0.06406772594188101	Tippe
10	3331500.0	491.2212903225806	24.748246179076233	0.4129032258064516	0.05473488695917417	Tippe
11	3331500.0	688.158	30.0505602795865	0.4006666666666667	0.0708074617652675	Tippe
12	3331500.0	935.2361290322583	31.32764937670464	0.39677419354838717	0.07256855352817772	Tippe
